mechanism,benefit_scale,cost_scale,replicate_count,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
direct_reciprocity,0.8,0.1,8,0.03247355576603783,0.006943917579702774,0.019460931125603466,0.04413260225926861
direct_reciprocity,0.8,0.2,8,0.009794659157858206,0.0032478804418408147,0.005527157821700274,0.01600671498159756
direct_reciprocity,0.8,0.3,8,0.0063987124307499105,0.0016508768596777026,0.004065889853977591,0.00892385394732767
direct_reciprocity,1.0,0.1,8,0.06044438758776737,0.01316961008942589,0.03952608147035283,0.08314774035767653
direct_reciprocity,1.0,0.2,8,0.010205682327762595,0.0028243576079287533,0.00597793458545273,0.013674138479866102
direct_reciprocity,1.0,0.3,8,0.007032392999198015,0.0019872848277778022,0.004316473776347748,0.009529878249054515
direct_reciprocity,1.2,0.1,8,0.11411742299171095,0.02419160122764913,0.08581255749236605,0.14737466150646783
direct_reciprocity,1.2,0.2,8,0.011577124624943739,0.0035239970014396683,0.007287497472013303,0.017740397642483672
direct_reciprocity,1.2,0.3,8,0.007368093397046564,0.0019445741837150058,0.004545085703170187,0.010614850860953838
group_selection,0.8,0.1,8,0.4749540933127634,0.09352270766753049,0.36137328096584376,0.620005121762826
group_selection,0.8,0.2,8,0.050557141425875626,0.014034957500961755,0.02726312356796017,0.07703087066654596
group_selection,0.8,0.3,8,0.011821033976035754,0.002827449408427427,0.0077215341832048805,0.018230990829759354
group_selection,1.0,0.1,8,0.5413205309453507,0.07827960966708315,0.4694665284873958,0.7271985450319365
group_selection,1.0,0.2,8,0.16907740689386558,0.04266888995776033,0.09531848469723955,0.22748318685208632
group_selection,1.0,0.3,8,0.013950603980404807,0.004841553853401058,0.007793444585176666,0.02355231701207916
group_selection,1.2,0.1,8,0.6410600906073249,0.09695326493302915,0.5283767194382365,0.865254065303164
group_selection,1.2,0.2,8,0.35468552953311544,0.04806236275033015,0.28815917516384004,0.42507482484985876
group_selection,1.2,0.3,8,0.03930926137907027,0.016669719014137805,0.02418375307847475,0.07215134815133482
indirect_reciprocity,0.8,0.1,8,0.9959013040965271,0.0012597806237261424,0.9938360746910284,0.9977752319290758
indirect_reciprocity,0.8,0.2,8,0.9528623380360466,0.05063709413533012,0.858706601570556,0.9962328495467013
indirect_reciprocity,0.8,0.3,8,0.838126394900974,0.09534705301335065,0.6861113706782935,0.9944954583214197
indirect_reciprocity,1.0,0.1,8,0.9975982135100592,0.0007774223986458303,0.996066004426932,0.9989425988852132
indirect_reciprocity,1.0,0.2,8,0.98870274871864,0.01862731373401116,0.9395474539750032,0.99714909392819
indirect_reciprocity,1.0,0.3,8,0.9621671387569498,0.0558273276128481,0.8195800039319716,0.9966276298096497
indirect_reciprocity,1.2,0.1,8,0.9980461232939755,0.0006754374821543954,0.9967322299333262,0.9991563199903444
indirect_reciprocity,1.2,0.2,8,0.996634349782782,0.0013166322611552488,0.9938681147950904,0.998571355816739
indirect_reciprocity,1.2,0.3,8,0.9940268196978552,0.005797222797844589,0.9793618196912567,0.997331355569751
kin_selection,0.8,0.1,8,0.5358215983495128,0.07695660324624572,0.42824036659173853,0.6677682710187892
kin_selection,0.8,0.2,8,0.31487030117859877,0.08616075625719276,0.22118772415093438,0.468457663880351
kin_selection,0.8,0.3,8,0.1496963842317431,0.07407712986987922,0.0417777714089295,0.28709868915534703
kin_selection,1.0,0.1,8,0.6413614287646582,0.052900751550660596,0.5861026077665166,0.7436860785521604
kin_selection,1.0,0.2,8,0.41736662492222926,0.08614133003930743,0.2705805063533359,0.5613450252398977
kin_selection,1.0,0.3,8,0.24415016475805915,0.0731086437907865,0.121056495441839,0.3419901703650751
kin_selection,1.2,0.1,8,0.7527188490143937,0.08460234524771136,0.6145247187771923,0.8816839111671535
kin_selection,1.2,0.2,8,0.53591261356777,0.09503630471149432,0.39553670032294835,0.7267660481792834
kin_selection,1.2,0.3,8,0.290086038835386,0.12760027183400366,0.05602330663015288,0.40483001223230836
network_reciprocity,0.8,0.1,8,0.40451631200726795,0.09289504846433584,0.3384584203989557,0.5677228174570301
network_reciprocity,0.8,0.2,8,0.03303965972529543,0.014908523087418394,0.017921425649827998,0.05796239535225492
network_reciprocity,0.8,0.3,8,0.0072165955296260315,0.0020743470566752303,0.003676491447592774,0.01014005131514955
network_reciprocity,1.0,0.1,8,0.4818330542289503,0.08782813743873921,0.3127055985009265,0.6190193277006857
network_reciprocity,1.0,0.2,8,0.1360269246684171,0.054513789176579834,0.07127113347425501,0.2237575190930352
network_reciprocity,1.0,0.3,8,0.0107732748642193,0.0051088885885238935,0.004824926577074889,0.019790631042696405
network_reciprocity,1.2,0.1,8,0.6118458487084166,0.04151086682084251,0.5572119033922059,0.6902615042242246
network_reciprocity,1.2,0.2,8,0.2882376386171388,0.0632333712918498,0.2352748350551579,0.4234861952746428
network_reciprocity,1.2,0.3,8,0.01656427103836057,0.003165320831145135,0.013314562291769328,0.02345288799921002
